ISO Date,Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Lat Ent us,Lat IO us,Active,CPU,Service,
2025-07-26T11:52:38.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,2000,Total,,18,201326592,96,768,0,0,0,4690,4,4,,
2025-07-26T11:52:38.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,2000,0,,8,21626880,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:52:38.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,2000,1,,8,22675456,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:52:38.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,2000,2,,8,22806528,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:52:38.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,2000,3,,50,134217728,,,0,,,,1,11,centos04.beastmode.local.net:1611,
2025-07-26T11:52:40.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,4000,Total,,37,407109632,98,785,0,0,0,10634,3,2,,
2025-07-26T11:52:40.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,4000,0,,17,46661632,,,0,,,,1,3,centos01.beastmode.local.net:1611,
2025-07-26T11:52:40.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,4000,1,,16,45481984,,,0,,,,1,3,centos02.beastmode.local.net:1611,
2025-07-26T11:52:40.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,4000,2,,17,46530560,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:52:40.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,4000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:52:42.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,6000,Total,,44,478937088,34,274,0,0,0,10727,3,1,,
2025-07-26T11:52:42.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,6000,0,,25,69468160,,,0,,,,1,1,centos01.beastmode.local.net:1611,
2025-07-26T11:52:42.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,6000,1,,25,69599232,,,0,,,,1,3,centos02.beastmode.local.net:1611,
2025-07-26T11:52:42.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,6000,2,,26,71434240,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:52:42.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,6000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:52:44.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,8000,Total,,51,552861696,35,282,0,0,0,10287,3,1,,
2025-07-26T11:52:44.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,8000,0,,35,94371840,,,0,,,,1,1,centos01.beastmode.local.net:1611,
2025-07-26T11:52:44.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,8000,1,,35,94502912,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:52:44.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,8000,2,,35,95551488,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:52:44.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,8000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:52:46.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,10000,Total,,58,624427008,34,273,0,0,0,9632,3,0,,
2025-07-26T11:52:46.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,10000,0,,43,118095872,,,0,,,,1,1,centos01.beastmode.local.net:1611,
2025-07-26T11:52:46.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,10000,1,,44,118358016,,,0,,,,1,1,centos02.beastmode.local.net:1611,
2025-07-26T11:52:46.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,10000,2,,44,119537664,,,0,,,,1,1,centos03.beastmode.local.net:1611,
2025-07-26T11:52:46.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,10000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:52:48.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,12000,Total,,65,698351616,35,282,0,0,0,10777,3,2,,
2025-07-26T11:52:48.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,12000,0,,52,141950976,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:52:48.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,12000,1,,53,143523840,,,0,,,,1,3,centos02.beastmode.local.net:1611,
2025-07-26T11:52:48.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,12000,2,,53,144441344,,,0,,,,1,3,centos03.beastmode.local.net:1611,
2025-07-26T11:52:48.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,12000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:52:50.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,14000,Total,,71,770048000,34,273,0,0,0,10730,3,1,,
2025-07-26T11:52:50.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,14000,0,,62,167247872,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:52:50.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,14000,1,,61,166068224,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:52:50.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,14000,2,,62,168296448,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:52:50.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,14000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:52:52.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,16000,Total,,78,842006528,34,274,0,0,0,10148,3,1,,
2025-07-26T11:52:52.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,16000,0,,71,191102976,,,0,,,,1,3,centos01.beastmode.local.net:1611,
2025-07-26T11:52:52.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,16000,1,,70,190185472,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:52:52.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,16000,2,,71,192282624,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:52:52.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,16000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:52:54.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,18000,Total,,85,916193280,35,283,0,0,0,11538,3,1,,
2025-07-26T11:52:54.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,18000,0,,80,216268800,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:52:54.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,18000,1,,80,215220224,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:52:54.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,18000,2,,80,216268800,,,0,,,,1,3,centos03.beastmode.local.net:1611,
2025-07-26T11:52:54.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,18000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:52:56.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,20000,Total,,91,987627520,34,272,0,0,0,10241,3,1,,
2025-07-26T11:52:56.686-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[128K]_FILESIZE[1G]_IODEPTH[1],READ,20000,0,,89,240123904,,,0,,,,1,2,centos01.beastmode.local.net:1611,
