ISO Date,Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Lat Ent us,Lat IO us,Active,CPU,Service,
2025-07-26T11:50:49.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,2000,Total,,15,165871616,79,1265,0,0,0,2808,4,3,,
2025-07-26T11:50:49.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,2000,0,,8,22740992,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:50:49.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,2000,1,,8,22675456,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:50:49.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,2000,2,,8,21495808,,,0,,,,1,3,centos03.beastmode.local.net:1611,
2025-07-26T11:50:49.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,2000,3,,36,98959360,,,0,,,,1,8,centos04.beastmode.local.net:1611,
2025-07-26T11:50:51.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,4000,Total,,33,355926016,90,1450,0,0,0,2710,4,5,,
2025-07-26T11:50:51.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,4000,0,,17,46530560,,,0,,,,1,3,centos01.beastmode.local.net:1611,
2025-07-26T11:50:51.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,4000,1,,17,46727168,,,0,,,,1,5,centos02.beastmode.local.net:1611,
2025-07-26T11:50:51.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,4000,2,,17,46530560,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:50:51.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,4000,3,,80,216137728,,,0,,,,1,12,centos04.beastmode.local.net:1611,
2025-07-26T11:50:53.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,6000,Total,,44,480772096,59,952,0,0,0,5244,3,1,,
2025-07-26T11:50:53.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,6000,0,,26,71630848,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:50:53.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,6000,1,,26,70320128,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:50:53.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,6000,2,,26,70385664,,,0,,,,1,3,centos03.beastmode.local.net:1611,
2025-07-26T11:50:53.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,6000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:50:55.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,8000,Total,,51,552927232,34,550,0,0,0,5593,3,2,,
2025-07-26T11:50:55.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,8000,0,,35,95420416,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:50:55.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,8000,1,,35,94240768,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:50:55.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,8000,2,,35,94830592,,,0,,,,1,4,centos03.beastmode.local.net:1611,
2025-07-26T11:50:55.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,8000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:50:57.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,10000,Total,,58,625016832,34,550,0,0,0,5383,3,1,,
2025-07-26T11:50:57.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,10000,0,,44,119275520,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:50:57.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,10000,1,,43,118095872,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:50:57.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,10000,2,,44,119209984,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:50:57.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,10000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:50:59.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,12000,Total,,65,698941440,35,564,0,0,0,5651,3,1,,
2025-07-26T11:50:59.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,12000,0,,53,144310272,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:50:59.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,12000,1,,53,143130624,,,0,,,,1,1,centos02.beastmode.local.net:1611,
2025-07-26T11:50:59.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,12000,2,,53,143065088,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:50:59.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,12000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:51:01.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,14000,Total,,71,771686400,34,555,0,0,0,5708,3,2,,
2025-07-26T11:51:01.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,14000,0,,62,168165376,,,0,,,,1,4,centos01.beastmode.local.net:1611,
2025-07-26T11:51:01.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,14000,1,,62,166985728,,,0,,,,1,4,centos02.beastmode.local.net:1611,
2025-07-26T11:51:01.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,14000,2,,62,168099840,,,0,,,,1,3,centos03.beastmode.local.net:1611,
2025-07-26T11:51:01.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,14000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:51:03.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,16000,Total,,78,844300288,34,554,0,0,0,5343,3,2,,
2025-07-26T11:51:03.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,16000,0,,71,193200128,,,0,,,,1,3,centos01.beastmode.local.net:1611,
2025-07-26T11:51:03.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,16000,1,,71,190775296,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:51:03.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,16000,2,,71,191889408,,,0,,,,1,3,centos03.beastmode.local.net:1611,
2025-07-26T11:51:03.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,16000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:51:05.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,18000,Total,,85,918093824,35,563,0,0,0,5190,3,1,,
2025-07-26T11:51:05.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,18000,0,,80,217055232,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:51:05.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,18000,1,,80,215810048,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:51:05.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,18000,2,,80,216793088,,,0,,,,1,3,centos03.beastmode.local.net:1611,
2025-07-26T11:51:05.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,18000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:51:07.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,20000,Total,,92,988610560,33,538,0,0,0,5347,3,1,,
2025-07-26T11:51:07.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,20000,0,,89,241041408,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:51:07.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,20000,1,,89,239665152,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:51:07.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,20000,2,,89,239468544,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:51:07.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,20000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:51:09.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,22000,Total,,98,1061224448,34,554,0,0,0,5326,3,1,,
2025-07-26T11:51:09.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,22000,0,,99,265945088,,,0,,,,1,3,centos01.beastmode.local.net:1611,
2025-07-26T11:51:09.066-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[64K]_FILESIZE[1G]_IODEPTH[1],READ,22000,1,,98,264699904,,,0,,,,1,2,centos02.beastmode.local.net:1611,
