ISO Date,Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Lat Ent us,Lat IO us,Active,CPU,Service,
2025-07-24T01:56:47.638-0400,Sequential_Write_Large_File_Disk[HDD]_Threads[2]_Blocks[1M]_Size[1G],WRITE,2000,Total,,6,71303168,34,34,0,0,0,283605,12,5,,
2025-07-24T01:56:49.638-0400,Sequential_Write_Large_File_Disk[HDD]_Threads[2]_Blocks[1M]_Size[1G],WRITE,4000,Total,,14,155189248,40,40,0,0,0,293419,12,4,,
2025-07-24T01:56:51.638-0400,Sequential_Write_Large_File_Disk[HDD]_Threads[2]_Blocks[1M]_Size[1G],WRITE,6000,Total,,22,239075328,40,40,0,0,0,318740,12,4,,
2025-07-24T01:56:53.638-0400,Sequential_Write_Large_File_Disk[HDD]_Threads[2]_Blocks[1M]_Size[1G],WRITE,8000,Total,,30,328204288,42,42,0,0,0,281928,12,6,,
2025-07-24T01:56:55.639-0400,Sequential_Write_Large_File_Disk[HDD]_Threads[2]_Blocks[1M]_Size[1G],WRITE,10000,Total,,39,419430400,43,43,0,0,0,283279,12,4,,
2025-07-24T01:56:57.639-0400,Sequential_Write_Large_File_Disk[HDD]_Threads[2]_Blocks[1M]_Size[1G],WRITE,12000,Total,,47,513802240,45,45,0,0,0,284353,12,5,,
2025-07-24T01:56:59.638-0400,Sequential_Write_Large_File_Disk[HDD]_Threads[2]_Blocks[1M]_Size[1G],WRITE,14000,Total,,55,598736896,40,40,0,0,0,272082,12,4,,
2025-07-24T01:57:01.638-0400,Sequential_Write_Large_File_Disk[HDD]_Threads[2]_Blocks[1M]_Size[1G],WRITE,16000,Total,,64,696254464,46,46,0,0,0,264172,12,6,,
2025-07-24T01:57:03.639-0400,Sequential_Write_Large_File_Disk[HDD]_Threads[2]_Blocks[1M]_Size[1G],WRITE,18000,Total,,73,784334848,42,42,0,0,0,341674,12,3,,
2025-07-24T01:57:05.639-0400,Sequential_Write_Large_File_Disk[HDD]_Threads[2]_Blocks[1M]_Size[1G],WRITE,20000,Total,,82,882900992,47,47,0,0,0,244860,12,5,,
2025-07-24T01:57:07.639-0400,Sequential_Write_Large_File_Disk[HDD]_Threads[2]_Blocks[1M]_Size[1G],WRITE,22000,Total,,90,966787072,40,40,0,0,0,255758,10,4,,
2025-07-24T01:57:09.638-0400,Sequential_Write_Large_File_Disk[HDD]_Threads[2]_Blocks[1M]_Size[1G],WRITE,24000,Total,,97,1049624576,39,39,0,0,0,214025,4,2,,
