ISO Date,Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Lat Ent us,Lat IO us,Active,CPU,Service,
2025-07-26T11:55:23.168-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],READ,2000,Total,,18,203948032,97,194,0,0,0,19272,4,4,,
2025-07-26T11:55:23.168-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],READ,2000,0,,8,22544384,,,0,,,,1,3,centos01.beastmode.local.net:1611,
2025-07-26T11:55:23.168-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],READ,2000,1,,8,22544384,,,0,,,,1,1,centos02.beastmode.local.net:1611,
2025-07-26T11:55:23.168-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],READ,2000,2,,8,21495808,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:55:23.168-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],READ,2000,3,,51,137363456,,,0,,,,1,11,centos04.beastmode.local.net:1611,
2025-07-26T11:55:25.168-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],READ,4000,Total,,37,404750336,95,191,0,0,0,41901,3,1,,
2025-07-26T11:55:25.168-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],READ,4000,0,,17,46137344,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:55:25.168-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],READ,4000,1,,16,44564480,,,0,,,,1,3,centos02.beastmode.local.net:1611,
2025-07-26T11:55:25.168-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],READ,4000,2,,16,45613056,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:55:25.168-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[512K]_FILESIZE[1G]_IODEPTH[1],READ,4000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
