ISO Date,Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Lat Ent us,Lat IO us,Active,CPU,Service,
2025-07-26T14:10:08.358-0400,Chart_Sample_Data_00,WRITE,2000,Total,,30,332079104,158,40537,0,0,0,24,1,21,,
2025-07-26T14:10:08.358-0400,Chart_Sample_Data_00,WRITE,2000,0,,30,332083200,,,0,,,,,,,
2025-07-26T14:10:10.358-0400,Chart_Sample_Data_00,WRITE,4000,Total,,62,665796608,159,40737,0,0,0,23,1,20,,
2025-07-26T14:10:10.358-0400,Chart_Sample_Data_00,WRITE,4000,0,,62,665796608,,,0,,,,,,,
2025-07-26T14:10:12.358-0400,Chart_Sample_Data_00,WRITE,6000,Total,,93,999149568,158,40692,0,0,0,23,1,20,,
2025-07-26T14:10:12.358-0400,Chart_Sample_Data_00,WRITE,6000,0,,93,999153664,,,0,,,,,,,
2025-07-26T14:10:14.790-0400,Chart_Sample_Data_00,READ,2000,Total,,41,444960768,212,54316,0,0,0,18,1,13,,
2025-07-26T14:10:14.790-0400,Chart_Sample_Data_00,READ,2000,0,,41,444964864,,,0,,,,,,,
2025-07-26T14:10:16.790-0400,Chart_Sample_Data_00,READ,4000,Total,,91,979574784,254,65260,0,0,0,14,1,11,,
2025-07-26T14:10:16.790-0400,Chart_Sample_Data_00,READ,4000,0,,91,979578880,,,0,,,,,,,
