ISO Date,Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Lat Ent us,Lat IO us,Active,CPU,Service,
2025-07-26T11:54:03.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,2000,Total,,18,203948032,97,389,0,0,0,9136,4,3,,
2025-07-26T11:54:03.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,2000,0,,8,22806528,,,0,,,,1,1,centos01.beastmode.local.net:1611,
2025-07-26T11:54:03.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,2000,1,,8,22806528,,,0,,,,1,0,centos02.beastmode.local.net:1611,
2025-07-26T11:54:03.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,2000,2,,8,22806528,,,0,,,,1,3,centos03.beastmode.local.net:1611,
2025-07-26T11:54:03.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,2000,3,,50,135528448,,,0,,,,1,10,centos04.beastmode.local.net:1611,
2025-07-26T11:54:05.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,4000,Total,,38,408158208,97,389,0,0,0,21357,3,1,,
2025-07-26T11:54:05.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,4000,0,,17,46661632,,,0,,,,1,4,centos01.beastmode.local.net:1611,
2025-07-26T11:54:05.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,4000,1,,17,46661632,,,0,,,,1,1,centos02.beastmode.local.net:1611,
2025-07-26T11:54:05.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,4000,2,,17,46399488,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:54:05.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,4000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:54:07.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,6000,Total,,44,482082816,35,141,0,0,0,22728,3,1,,
2025-07-26T11:54:07.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,6000,0,,26,70516736,,,0,,,,1,1,centos01.beastmode.local.net:1611,
2025-07-26T11:54:07.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,6000,1,,26,71565312,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:54:07.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,6000,2,,26,71565312,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:54:07.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,6000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:54:09.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,8000,Total,,51,555220992,34,139,0,0,0,22932,3,1,,
2025-07-26T11:54:09.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,8000,0,,35,95682560,,,0,,,,1,2,centos01.beastmode.local.net:1611,
2025-07-26T11:54:09.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,8000,1,,35,95682560,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:54:09.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,8000,2,,35,95420416,,,0,,,,1,2,centos03.beastmode.local.net:1611,
2025-07-26T11:54:09.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,8000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
2025-07-26T11:54:11.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,10000,Total,,58,628359168,34,139,0,0,0,23183,3,1,,
2025-07-26T11:54:11.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,10000,0,,44,119799808,,,0,,,,1,3,centos01.beastmode.local.net:1611,
2025-07-26T11:54:11.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,10000,1,,44,119537664,,,0,,,,1,2,centos02.beastmode.local.net:1611,
2025-07-26T11:54:11.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,10000,2,,44,120586240,,,0,,,,1,1,centos03.beastmode.local.net:1611,
2025-07-26T11:54:11.292-0400,SR_LF_HOSTS[4]_THREADS[1]_BLOCKSIZE[256K]_FILESIZE[1G]_IODEPTH[1],READ,10000,3,,100,268435456,,,0,,,,0,0,centos04.beastmode.local.net:1611,
