ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2025-07-26T20:24:48.635-0400,Random_Small_File,file,1,1,1,,,33554432,4096,0,1,1,1,,0,WRITE,51,51,,,159800,159800,624,624,13,13,,,32,32,,,,4,5,199,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202448607887_RSF.BIN" 
2025-07-26T20:24:48.688-0400,Random_Small_File,file,1,1,1,,,33554432,4096,0,1,1,1,,0,READ,28,28,,,286253,286253,1118,1118,11,11,,,32,32,,,,1,2,126,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202448607887_RSF.BIN" 
2025-07-26T20:24:57.007-0400,Random_Small_File,file,1,1,4,,,33554432,4096,0,1,1,1,,0,WRITE,79,79,,,102821,102708,401,401,9,9,,,31,32,,,,7,38,225,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=4" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202456981290_RSF.BIN" 
2025-07-26T20:24:57.088-0400,Random_Small_File,file,1,1,4,,,33554432,4096,0,1,1,1,,0,READ,29,46,,,173267,176971,676,691,9,10,,,20,32,,,,1,18,8948,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=4" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202456981290_RSF.BIN" 
2025-07-26T20:25:05.786-0400,Random_Small_File,file,1,1,8,,,33554432,4096,0,1,1,1,,0,WRITE,82,83,,,98427,98326,384,384,12,12,,,31,32,,,,5,80,264,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=8" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202505760546_RSF.BIN" 
2025-07-26T20:25:05.871-0400,Random_Small_File,file,1,1,8,,,33554432,4096,0,1,1,1,,0,READ,17,45,,,177052,180396,691,704,12,10,,,12,32,,,,1,30,6036,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=8" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202505760546_RSF.BIN" 
2025-07-26T20:25:22.409-0400,Random_Small_File,file,1,1,16,,,33554432,4096,0,1,1,1,,0,WRITE,81,83,,,98406,98278,384,383,8,8,,,31,32,,,,7,160,503,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=16" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202522382935_RSF.BIN" 
2025-07-26T20:25:22.494-0400,Random_Small_File,file,1,1,16,,,33554432,4096,0,1,1,1,,0,READ,9,42,,,190965,192183,745,750,6,6,,,7,32,,,,1,58,8950,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=16" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202522382935_RSF.BIN" 
2025-07-26T20:25:28.195-0400,Random_Small_File,file,1,1,1,,,33554432,32768,0,1,1,1,,0,WRITE,21,21,,,46905,46905,1465,1465,14,14,,,32,32,,,,18,20,106,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202528168512_RSF.BIN" 
2025-07-26T20:25:28.218-0400,Random_Small_File,file,1,1,1,,,33554432,32768,0,1,1,1,,0,READ,6,6,,,149598,149598,4674,4674,0,0,,,32,32,,,,1,6,30,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_RSF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202528168512_RSF.BIN" 
