ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2025-07-26T20:24:43.519-0400,Sequential_Large_File,file,1,1,1,,,1073741824,4096,0,0,,1,,0,WRITE,2131,2131,,,122965,122965,480,480,15,15,,,1024,1024,,,,5,7,3518,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=1" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202443492386_SLF.BIN" 
2025-07-26T20:24:45.652-0400,Sequential_Large_File,file,1,1,1,,,1073741824,4096,0,0,,1,,0,READ,616,616,,,425335,425335,1661,1661,8,8,,,1024,1024,,,,1,2,65,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=1" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202443492386_SLF.BIN" 
2025-07-26T20:24:51.081-0400,Sequential_Large_File,file,1,1,4,,,1073741824,4096,0,0,,1,,0,WRITE,2300,2302,,,113796,113827,444,444,9,9,,,1022,1024,,,,4,34,563,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=4" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202451055155_SLF.BIN" 
2025-07-26T20:24:53.385-0400,Sequential_Large_File,file,1,1,4,,,1073741824,4096,0,0,,1,,0,READ,1194,1256,,,206340,208664,806,815,8,8,,,962,1024,,,,1,18,10471,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=4" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202451055155_SLF.BIN" 
2025-07-26T20:24:59.498-0400,Sequential_Large_File,file,1,1,8,,,1073741824,4096,0,0,,1,,0,WRITE,2165,2170,,,120772,120780,471,471,10,10,,,1021,1024,,,,4,65,8246,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=8" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202459472948_SLF.BIN" 
2025-07-26T20:25:01.670-0400,Sequential_Large_File,file,1,1,8,,,1073741824,4096,0,0,,1,,0,READ,1133,1335,,,190339,196307,743,766,11,10,,,842,1024,,,,1,36,6187,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=8" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202459472948_SLF.BIN" 
2025-07-26T20:25:16.348-0400,Sequential_Large_File,file,1,1,16,,,1073741824,4096,0,0,,1,,0,WRITE,2185,2358,,,110879,111164,433,434,20,19,,,946,1024,,,,4,140,85171,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=16" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202516320452_SLF.BIN" 
2025-07-26T20:25:18.707-0400,Sequential_Large_File,file,1,1,16,,,1073741824,4096,0,0,,1,,0,READ,756,1336,,,200514,196186,783,766,8,8,,,592,1024,,,,1,63,32573,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=16" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202516320452_SLF.BIN" 
2025-07-26T20:25:24.901-0400,Sequential_Large_File,file,1,1,1,,,1073741824,32768,0,0,,1,,0,WRITE,744,744,,,44010,44010,1375,1375,8,8,,,1024,1024,,,,16,22,2145,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=1" "--block=32K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202524875817_SLF.BIN" 
2025-07-26T20:25:25.647-0400,Sequential_Large_File,file,1,1,1,,,1073741824,32768,0,0,,1,,0,READ,174,174,,,187515,187515,5859,5859,7,7,,,1024,1024,,,,3,4,36,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=1" "--block=32K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2024\20250726_2024_SLF.txt" "--log" "0" "--cpu" "--lat" "C:\\data_testing\20250726202524875817_SLF.BIN" 
