ISO Date,Label,Phase,RuntimeMS,Rank,MixType,Done%,DoneBytes,MiB/s,IOPS,Entries,Entries/s,Lat Ent us,Lat IO us,Active,CPU,Service,
2025-07-26T20:21:25.244-0400,Sequential_Large_File,WRITE,2010,Total,,89,965775360,460,117892,0,0,0,33,4,12,,
2025-07-26T20:21:25.244-0400,Sequential_Large_File,WRITE,2010,0,,89,241156096,,,0,,,,,,,
2025-07-26T20:21:25.244-0400,Sequential_Large_File,WRITE,2010,1,,89,241410048,,,0,,,,,,,
2025-07-26T20:21:25.244-0400,Sequential_Large_File,WRITE,2010,2,,89,241397760,,,0,,,,,,,
2025-07-26T20:21:25.244-0400,Sequential_Large_File,WRITE,2010,3,,90,241823744,,,0,,,,,,,
2025-07-26T20:21:33.609-0400,Sequential_Large_File,WRITE,2015,Total,,98,1052831744,502,128519,0,0,0,62,8,9,,
2025-07-26T20:21:33.609-0400,Sequential_Large_File,WRITE,2015,0,,98,131645440,,,0,,,,,,,
2025-07-26T20:21:33.609-0400,Sequential_Large_File,WRITE,2015,1,,97,131371008,,,0,,,,,,,
2025-07-26T20:21:33.609-0400,Sequential_Large_File,WRITE,2015,2,,98,132538368,,,0,,,,,,,
2025-07-26T20:21:33.609-0400,Sequential_Large_File,WRITE,2015,3,,98,132608000,,,0,,,,,,,
2025-07-26T20:21:33.609-0400,Sequential_Large_File,WRITE,2015,4,,97,130670592,,,0,,,,,,,
2025-07-26T20:21:33.609-0400,Sequential_Large_File,WRITE,2015,5,,98,131661824,,,0,,,,,,,
2025-07-26T20:21:33.609-0400,Sequential_Large_File,WRITE,2015,6,,97,131112960,,,0,,,,,,,
2025-07-26T20:21:33.609-0400,Sequential_Large_File,WRITE,2015,7,,97,131239936,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,Total,,89,964771840,460,117770,0,0,0,136,16,8,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,0,,89,60268544,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,1,,89,60174336,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,2,,91,61100032,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,3,,89,60280832,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,4,,89,60022784,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,5,,90,60420096,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,6,,89,60256256,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,7,,89,60018688,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,8,,89,60203008,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,9,,89,60280832,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,10,,90,60506112,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,11,,90,60469248,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,12,,89,60125184,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,13,,89,60125184,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,14,,89,60317696,,,0,,,,,,,
2025-07-26T20:21:50.385-0400,Sequential_Large_File,WRITE,2012,15,,89,60215296,,,0,,,,,,,
