ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2025-07-26T21:49:02.377-0400,Random_Small_File,file,1,1,1,,,33554432,4096,0,1,1,1,,0,WRITE,422,422,,,19384,19384,75,75,51,51,,,32,32,,,,4,50,355566,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214902181418_RSF.BIN" 
2025-07-26T21:49:02.801-0400,Random_Small_File,file,1,1,1,,,33554432,4096,0,1,1,1,,0,READ,37,37,,,217756,217756,850,850,27,27,,,32,32,,,,2,4,130,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214902181418_RSF.BIN" 
2025-07-26T21:49:29.135-0400,Random_Small_File,file,1,1,4,,,33554432,4096,0,1,1,1,,0,WRITE,371,372,,,21928,22004,85,85,22,22,,,31,32,,,,5,181,280107,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=4" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214929088817_RSF.BIN" 
2025-07-26T21:49:29.508-0400,Random_Small_File,file,1,1,4,,,33554432,4096,0,1,1,1,,0,READ,40,59,,,132081,138100,515,539,20,21,,,20,32,,,,2,24,4625,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=4" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214929088817_RSF.BIN" 
2025-07-26T21:49:54.987-0400,Random_Small_File,file,1,1,8,,,33554432,4096,0,1,1,1,,0,WRITE,371,373,,,21511,21905,84,85,25,25,,,31,32,,,,5,363,278001,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=8" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214954950090_RSF.BIN" 
2025-07-26T21:49:55.363-0400,Random_Small_File,file,1,1,8,,,33554432,4096,0,1,1,1,,0,READ,35,58,,,136788,139180,534,543,18,25,,,19,32,,,,2,48,7925,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=8" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214954950090_RSF.BIN" 
2025-07-26T21:50:22.747-0400,Random_Small_File,file,1,1,16,,,33554432,4096,0,1,1,1,,0,WRITE,363,365,,,22104,22404,86,87,39,39,,,31,32,,,,5,712,262866,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=16" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215022705060_RSF.BIN" 
2025-07-26T21:50:23.114-0400,Random_Small_File,file,1,1,16,,,33554432,4096,0,1,1,1,,0,READ,22,65,,,118830,125580,464,490,56,42,,,10,32,,,,2,104,4028,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=16" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215022705060_RSF.BIN" 
2025-07-26T21:50:41.475-0400,Random_Small_File,file,1,1,1,,,33554432,32768,0,1,1,1,,0,WRITE,338,338,,,3025,3025,94,94,22,22,,,32,32,,,,15,329,191417,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215041436633_RSF.BIN" 
2025-07-26T21:50:41.815-0400,Random_Small_File,file,1,1,1,,,33554432,32768,0,1,1,1,,0,READ,8,8,,,121701,121701,3803,3803,15,15,,,32,32,,,,2,7,85,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215041436633_RSF.BIN" 
2025-07-26T21:51:05.449-0400,Random_Small_File,file,1,1,4,,,33554432,32768,0,1,1,1,,0,WRITE,321,322,,,3115,3178,97,99,28,28,,,31,32,,,,19,1256,301958,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=4" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215105403929_RSF.BIN" 
2025-07-26T21:51:05.773-0400,Random_Small_File,file,1,1,4,,,33554432,32768,0,1,1,1,,0,READ,4,10,,,86897,93498,2715,2921,62,62,,,11,32,,,,2,29,2452,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=4" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215105403929_RSF.BIN" 
2025-07-26T21:51:31.950-0400,Random_Small_File,file,1,1,8,,,33554432,32768,0,1,1,1,,0,WRITE,314,315,,,3120,3248,97,101,26,26,,,30,32,,,,20,2459,295182,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=8" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215131910591_RSF.BIN" 
2025-07-26T21:51:32.267-0400,Random_Small_File,file,1,1,8,,,33554432,32768,0,1,1,1,,0,READ,5,11,,,82959,87230,2592,2725,0,24,,,13,32,,,,2,64,2530,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=8" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215131910591_RSF.BIN" 
2025-07-26T21:51:58.172-0400,Random_Small_File,file,1,1,16,,,33554432,32768,0,1,1,1,,0,WRITE,361,363,,,2661,2818,83,88,23,23,,,30,32,,,,22,5667,342482,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=16" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215158127302_RSF.BIN" 
2025-07-26T21:51:58.537-0400,Random_Small_File,file,1,1,16,,,33554432,32768,0,1,1,1,,0,READ,0,10,,,96989,96850,3030,3026,0,18,,,2,32,,,,2,100,4576,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=16" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215158127302_RSF.BIN" 
2025-07-26T21:52:17.957-0400,Random_Small_File,file,1,1,1,,,33554432,65536,0,1,1,1,,0,WRITE,304,304,,,1681,1681,105,105,22,22,,,32,32,,,,27,593,274241,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=64K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215217907268_RSF.BIN" 
2025-07-26T21:52:18.263-0400,Random_Small_File,file,1,1,1,,,33554432,65536,0,1,1,1,,0,READ,6,6,,,76876,76876,4804,4804,0,0,,,32,32,,,,3,12,53,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=64K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215217907268_RSF.BIN" 
