ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2025-07-26T21:48:45.811-0400,Sequential_Large_File,file,1,1,1,,,1073741824,4096,0,0,,1,,0,WRITE,1736,1736,,,150980,150980,589,589,26,26,,,1024,1024,,,,4,6,13529,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=1" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214845761673_SLF.BIN" 
2025-07-26T21:48:47.549-0400,Sequential_Large_File,file,1,1,1,,,1073741824,4096,0,0,,1,,0,READ,835,835,,,313698,313698,1225,1225,14,14,,,1024,1024,,,,2,2,255,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=1" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214845761673_SLF.BIN" 
2025-07-26T21:49:05.583-0400,Sequential_Large_File,file,1,1,4,,,1073741824,4096,0,0,,1,,0,WRITE,14117,14147,,,18403,18529,71,72,35,35,,,1014,1024,,,,5,215,9270090,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=4" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214905553615_SLF.BIN" 
2025-07-26T21:49:19.732-0400,Sequential_Large_File,file,1,1,4,,,1073741824,4096,0,0,,1,,0,READ,1332,1747,,,147854,150029,577,586,37,36,,,769,1024,,,,3,24,7259,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=4" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214905553615_SLF.BIN" 
2025-07-26T21:49:32.283-0400,Sequential_Large_File,file,1,1,8,,,1073741824,4096,0,0,,1,,0,WRITE,13365,13664,,,18141,19184,70,74,24,24,,,947,1024,,,,4,414,9991146,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=8" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214932243243_SLF.BIN" 
2025-07-26T21:49:45.948-0400,Sequential_Large_File,file,1,1,8,,,1073741824,4096,0,0,,1,,0,READ,1550,1848,,,141175,141832,551,554,37,37,,,855,1024,,,,2,49,4706,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=8" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214932243243_SLF.BIN" 
2025-07-26T21:49:58.606-0400,Sequential_Large_File,file,1,1,16,,,1073741824,4096,0,0,,1,,0,WRITE,13103,13562,,,16973,19328,66,75,26,26,,,868,1024,,,,4,823,10650714,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=16" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214958566613_SLF.BIN" 
2025-07-26T21:50:12.170-0400,Sequential_Large_File,file,1,1,16,,,1073741824,4096,0,0,,1,,0,READ,1616,2084,,,121845,125780,475,491,47,45,,,769,1024,,,,2,115,95506,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=16" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726214958566613_SLF.BIN" 
2025-07-26T21:50:25.953-0400,Sequential_Large_File,file,1,1,1,,,1073741824,32768,0,0,,1,,0,WRITE,1253,1253,,,26145,26145,817,817,33,33,,,1024,1024,,,,17,37,9617,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=1" "--block=32K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215025913214_SLF.BIN" 
2025-07-26T21:50:27.208-0400,Sequential_Large_File,file,1,1,1,,,1073741824,32768,0,0,,1,,0,READ,279,279,,,117104,117104,3659,3659,34,34,,,1024,1024,,,,4,7,296,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=1" "--block=32K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2148\20250726_2148_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_hdd\data_testing\20250726215025913214_SLF.BIN" 
