ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2025-07-26T20:29:37.298-0400,Random_Small_File,file,1,1,1,,,33554432,4096,0,1,1,1,,0,WRITE,332,332,,,24601,24601,96,96,5,5,,,32,32,,,,4,39,185334,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726202937266677_RSF.BIN" 
2025-07-26T20:29:37.633-0400,Random_Small_File,file,1,1,1,,,33554432,4096,0,1,1,1,,0,READ,34,34,,,235280,235280,919,919,8,8,,,32,32,,,,2,3,96,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726202937266677_RSF.BIN" 
2025-07-26T20:30:00.935-0400,Random_Small_File,file,1,1,4,,,33554432,4096,0,1,1,1,,0,WRITE,374,374,,,21681,21849,84,85,14,14,,,31,32,,,,4,182,246765,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=4" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203000903650_RSF.BIN" 
2025-07-26T20:30:01.311-0400,Random_Small_File,file,1,1,4,,,33554432,4096,0,1,1,1,,0,READ,37,53,,,147126,153537,574,599,12,10,,,21,32,,,,2,21,5107,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=4" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203000903650_RSF.BIN" 
2025-07-26T20:30:25.915-0400,Random_Small_File,file,1,1,8,,,33554432,4096,0,1,1,1,,0,WRITE,337,338,,,24162,24227,94,94,4,4,,,31,32,,,,6,329,251985,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=8" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203025884478_RSF.BIN" 
2025-07-26T20:30:26.254-0400,Random_Small_File,file,1,1,8,,,33554432,4096,0,1,1,1,,0,READ,6,48,,,166666,167910,651,655,32,10,,,4,32,,,,2,31,13086,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=8" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203025884478_RSF.BIN" 
2025-07-26T20:30:52.467-0400,Random_Small_File,file,1,1,16,,,33554432,4096,0,1,1,1,,0,WRITE,394,394,,,20713,20750,80,81,5,5,,,31,32,,,,6,769,310621,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=16" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203052435689_RSF.BIN" 
2025-07-26T20:30:52.863-0400,Random_Small_File,file,1,1,16,,,33554432,4096,0,1,1,1,,0,READ,5,47,,,176809,173706,690,678,0,6,,,3,32,,,,2,65,18972,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=16" "--block=4K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203052435689_RSF.BIN" 
2025-07-26T20:31:09.578-0400,Random_Small_File,file,1,1,1,,,33554432,32768,0,1,1,1,,0,WRITE,315,315,,,3245,3245,101,101,50,50,,,32,32,,,,14,307,229743,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203109546241_RSF.BIN" 
2025-07-26T20:31:09.895-0400,Random_Small_File,file,1,1,1,,,33554432,32768,0,1,1,1,,0,READ,7,7,,,139585,139585,4362,4362,0,0,,,32,32,,,,2,6,28,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Random_Small_File" "--write" "--read" "--rand" "--iodepth=1" "--threads=1" "--block=32K" "--size=32M" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_RSF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203109546241_RSF.BIN" 
