ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2025-07-26T20:29:21.964-0400,Sequential_Large_File,file,1,1,1,,,1073741824,4096,0,0,,1,,0,WRITE,1541,1541,,,170007,170007,664,664,8,8,,,1024,1024,,,,4,5,5852,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=1" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726202921930602_SLF.BIN" 
2025-07-26T20:29:23.508-0400,Sequential_Large_File,file,1,1,1,,,1073741824,4096,0,0,,1,,0,READ,815,815,,,321445,321445,1255,1255,7,7,,,1024,1024,,,,2,2,217,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=1" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726202921930602_SLF.BIN" 
2025-07-26T20:29:40.354-0400,Sequential_Large_File,file,1,1,4,,,1073741824,4096,0,0,,1,,0,WRITE,12926,12950,,,20122,20241,78,79,5,5,,,1016,1024,,,,5,196,7706747,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=4" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726202940324609_SLF.BIN" 
2025-07-26T20:29:53.306-0400,Sequential_Large_File,file,1,1,4,,,1073741824,4096,0,0,,1,,0,READ,2054,2134,,,122478,122830,478,479,20,20,,,982,1024,,,,2,31,27782,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=4" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726202940324609_SLF.BIN" 
2025-07-26T20:30:04.053-0400,Sequential_Large_File,file,1,1,8,,,1073741824,4096,0,0,,1,,0,WRITE,12395,12474,,,20703,21014,80,82,6,6,,,1002,1024,,,,4,379,9016732,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=8" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203004022562_SLF.BIN" 
2025-07-26T20:30:16.529-0400,Sequential_Large_File,file,1,1,8,,,1073741824,4096,0,0,,1,,0,READ,1856,2073,,,125039,126450,488,493,11,11,,,906,1024,,,,2,59,29098,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=8" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203004022562_SLF.BIN" 
2025-07-26T20:30:29.445-0400,Sequential_Large_File,file,1,1,16,,,1073741824,4096,0,0,,1,,0,WRITE,12317,12768,,,18283,20529,71,80,6,6,,,879,1024,,,,4,775,9736733,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=16" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203029413165_SLF.BIN" 
2025-07-26T20:30:42.215-0400,Sequential_Large_File,file,1,1,16,,,1073741824,4096,0,0,,1,,0,READ,1690,2129,,,122926,123076,480,480,11,10,,,811,1024,,,,2,121,66730,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=16" "--block=4K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203029413165_SLF.BIN" 
2025-07-26T20:30:55.599-0400,Sequential_Large_File,file,1,1,1,,,1073741824,32768,0,0,,1,,0,WRITE,843,843,,,38830,38830,1213,1213,7,7,,,1024,1024,,,,17,25,1052,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=1" "--block=32K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203055568931_SLF.BIN" 
2025-07-26T20:30:56.444-0400,Sequential_Large_File,file,1,1,1,,,1073741824,32768,0,0,,1,,0,READ,203,203,,,160796,160796,5024,5024,7,7,,,1024,1024,,,,4,5,267,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=1" "--block=32K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203055568931_SLF.BIN" 
2025-07-26T20:31:12.589-0400,Sequential_Large_File,file,1,1,4,,,1073741824,32768,0,0,,1,,0,WRITE,9830,9926,,,3269,3301,102,103,3,3,,,1004,1024,,,,17,1204,7580707,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=4" "--block=32K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203112559679_SLF.BIN" 
2025-07-26T20:31:22.517-0400,Sequential_Large_File,file,1,1,4,,,1073741824,32768,0,0,,1,,0,READ,339,378,,,85286,86508,2665,2703,12,11,,,903,1024,,,,5,43,28974,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=4" "--block=32K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203112559679_SLF.BIN" 
2025-07-26T20:31:35.467-0400,Sequential_Large_File,file,1,1,8,,,1073741824,32768,0,0,,1,,0,WRITE,9640,9709,,,3054,3374,95,105,3,4,,,920,1024,,,,18,2366,8972994,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=8" "--block=32K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203135435700_SLF.BIN" 
2025-07-26T20:31:45.178-0400,Sequential_Large_File,file,1,1,8,,,1073741824,32768,0,0,,1,,0,READ,198,374,,,89564,87582,2798,2736,9,10,,,556,1024,,,,5,80,23264,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=8" "--block=32K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203135435700_SLF.BIN" 
2025-07-26T20:31:59.822-0400,Sequential_Large_File,file,1,1,16,,,1073741824,32768,0,0,,1,,0,WRITE,10575,10767,,,2284,3043,71,95,14,15,,,755,1024,,,,18,5241,10197479,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=16" "--block=32K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203159789669_SLF.BIN" 
2025-07-26T20:32:10.591-0400,Sequential_Large_File,file,1,1,16,,,1073741824,32768,0,0,,1,,0,READ,103,310,,,107067,105439,3345,3294,8,11,,,345,1024,,,,5,124,22215,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=16" "--block=32K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203159789669_SLF.BIN" 
2025-07-26T20:32:26.563-0400,Sequential_Large_File,file,1,1,1,,,1073741824,65536,0,0,,1,,0,WRITE,798,798,,,20529,20529,1283,1283,7,7,,,1024,1024,,,,32,48,3037,,,,,,,,,,,,,,,,,3.0-29,"/elbencho/elbencho" "--label" "Sequential_Large_File" "--write" "--read" "--iodepth=1" "--threads=1" "--block=64K" "--size=1G" "--timelimit" "1200" "--live1" "--livecsvex" "--livecsv" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF-live.csv" "--csvfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.csv" "--resfile" "C:\Users\spillman\PythonProjects\elcrapo\v6\result-logs\20250726_2029\20250726_2029_SLF.txt" "--log" "0" "--cpu" "--lat" "\\beastserver.beastmode.local.net\benchmark_tests_ssd\data_testing\20250726203226532135_SLF.BIN" 
